1.5 5757.05 3.03846153846154
3 12932.23 3.33333333333333
3 12823.20 4.05
3 20410.90 3.02845528455285
3 14401.00 3.47058823529412
3.5 36280.78 4.11863799283154
3 31754.45 3.43552690084482
1 28789.47 3.61323155216285
1.5 30050.57 3.51737451737452
3.5 32389.06 3.75126903553299
3.5 34199.73 3.88422818791946
4 34146.65 4.12097304404997
3 33206.64 3.69066893907115
3 35116.79 3.70164517563361
2.5 35563.00 3.89399947131906
3.5 35719.61 3.95025839793282
4 35121.37 3.55430579964851
3 35062.52 3.76200607902736
3 35453.46 4.27878289473684
3 35326.03 3.82500766166105
2 36194.99 4.02882159795695
3 36366.59 4.1967639410575
3 36373.61 4.07233733187932
3 36404.52 3.98176943699732
3.5 36439.99 4.59499747347145
3.5 36460.07 4.31605212087607
4 36664.54 4.51825928180158
4 36743.75 4.19549929676512
