94|1
117|1
140|1
148|1
170|1
182|1
201|1
209|1
210|1
216|1
230|1
246|1
261|1
266|1
7|2
55|2
62|2
109|2
117|2
119|2
120|2
148|2
170|2
210|2
219|2
275|2
277|2
9|3
45|3
62|3
70|3
94|3
103|3
182|3
183|3
201|3
204|3
207|3
246|3
94|4
116|4
148|4
150|4
154|4
161|4
163|4
204|4
216|4
56|5
63|5
70|5
103|5
110|5
117|5
122|5
128|5
138|5
163|5
177|5
183|5
196|5
201|5
204|5
244|5
253|5
261|5
275|5
277|5
286|5
7|6
62|6
81|6
109|6
120|6
122|6
128|6
154|6
203|6
209|6
217|6
221|6
266|6
40|7
45|7
56|7
58|7
81|7
119|7
148|7
161|7
170|7
196|7
201|7
210|7
219|7
230|7
246|7
253|7
275|7
294|7
1|8
9|8
106|8
117|8
138|8
161|8
163|8
170|8
203|8
209|8
216|8
221|8
275|8
294|8
32|9
45|9
55|9
122|9
158|9
182|9
183|9
210|9
221|9
230|9
246|9
266|9
9|10
56|10
62|10
70|10
110|10
120|10
122|10
140|10
148|10
170|10
183|10
196|10
221|10
277|10
286|10
294|10
116|11
120|11
128|11
140|11
148|11
154|11
170|11
183|11
219|11
221|11
236|11
266|11
40|12
55|12
62|12
94|12
117|12
119|12
138|12
161|12
170|12
196|12
203|12
204|12
206|12
209|12
219|12
230|12
253|12
277|12
286|12
63|13
103|13
109|13
110|13
120|13
163|13
183|13
196|13
201|13
221|13
230|13
244|13
253|13
261|13
263|13
277|13
278|13
286|13
294|13
40|14
45|14
70|14
81|14
110|14
117|14
128|14
140|14
183|14
201|14
210|14
244|14
246|14
32|15
40|15
62|15
63|15
103|15
161|15
182|15
210|15
221|15
233|15
244|15
253|15
286|15
45|16
56|16
62|16
63|16
116|16
140|16
154|16
158|16
162|16
163|16
196|16
204|16
209|16
233|16
236|16
244|16
277|16
286|16
1|17
7|17
32|17
45|17
55|17
58|17
62|17
63|17
116|17
170|17
201|17
224|17
230|17
244|17
261|17
275|17
81|18
119|18
150|18
154|18
161|18
182|18
183|18
206|18
217|18
221|18
244|18
294|18
70|19
117|19
128|19
140|19
154|19
161|19
183|19
203|19
207|19
286|19
294|19
56|20
81|20
109|20
116|20
117|20
119|20
128|20
201|20
209|20
219|20
261|20
275|20
1|21
